Ingredient	Ca (%)	P (%)	Mg (%)	K (%)	Na (%)	Cl (%)	S (%)	Co (ppm)	Cu (ppm)	I (ppm)	Fe (ppm)	Mn (ppm)	Se (ppm)	Zn (ppm)	Mo (ppm)
Groundnut meal	0.18	0.6	0.32	1.32	0.03	0.1	0.32	-	13	0.07	302	33	0.21	54	3.8
Cottonseed cake (Decorticated)	0.17	0.6	0.37	1.13	0.02	0.06	0.23	-	7	-	94	18	0.14	37	1.3
Cottonseed cake (undecorticated)	0.12	0.3	0.29	1.1	0.03	-	0.22	0.42	9.97	-	450.6	0.29	0.11	31.22	0.35
Rapeseed meal	0.73	0.85	0.54	0.9	0.5	-	-	-	7	-	190	60	1.04	47	-
Sunflower meal	0.33	0.93	0.63	1.5	0.04	0.12	0.39	-	32	-	298	45	0.5	88	2.7
Safflower meal	0.2	0.6	0.39	1.21	0.04	-	0.32	-	22	-	319	30	-	77	2.3
Sesame meal	1.33	0.9	0.5	1.35	0.04	0.07	0.35	-	-	-	100	52	-	32	-
Coconut meal	0.15	0.5	0.33	1.62	0.04	-	0.36	0.14	15	-	1651	71	-	-	-
Linseed meal	0.4	1.2	0.55	1.22	0.09	-	0.37	-	19	-	369	39	1.05	69	2
Jowar hay	0.83	0.75	0.28	0.97	0.01	-	0.09	0.19	5.96	-	472.19	30.54	0.08	33.77	0.39
Grass hay	0.42	0.25	0.18	0.16	0.01	-	0.12	0.36	4.23	-	571.37	62.23	0.14	23.31	0.17
Apluda mutica	0.2	0.034	0.03	0.72	-	-	-	0.042	10	-	-	7.5	-	14	-
Peanut (Arachis hypogaea)	1.24	0.65	0.21	0.51	0.69	-	-	-	-	-	-	-	-	-	-
Oats (Avena sativa)	0.3	0.35	0.26	1.51	0.18	0.52	0.25	0.07	15	-	155	64	0.17	39	-
Bermuda grass (Cynodon dactylon)	0.47	0.17	0.17	1.53	0.08	-	0.21	0.12	-	0.12	290	-	-	-	-
Soybean (Glycine max)	1.29	0.28	0.79	1.07	0.09	0.15	0.24	0.09	9	0.24	292	106	-	24	-
Lucerne (Medicago sativa)	2	0.4	0.3	2.26	0.17	0.37	0.3	0.23	11	-	195	31	0.54	24	-
Berseem (Trifolium alexandrinum)	2	0.38	0.43	1.62	0.19	0.32	0.17	0.16	11	0.25	184	73	-	17	-
Wheat (Triticum aestivum)	0.15	0.2	0.12	1	0.21	0.22	-	-	200	-	-	-	-	-	-
Cowpea (Vigna sinensis)	2.33	0.88	0.45	2.26	0.27	0.17	0.35	0.07	-	-	300	-	-	-	-
Maize (Zea mays)	0.42	0.14	0.37	1.13	0.01	-	0.13	0.38	9.35	-	616.56	53.41	0.08	39.55	0.35
Peanut (Arachis hypogaea)	1.29	0.12	0.58	1.12	0.03	-	0.13	0.75	10.93	-	1345.22	71	0.09	18.72	0.19
Oats (Avena sativa)	0.24	0.06	0.18	2.57	0.42	0.78	0.23	-	10	-	175	37	-	6	-
Barley (Hordeum vulgare)	0.3	0.3	0.23	2.37	0.14	0.67	0.17	0.07	5	-	201	17	-	7	-
Bean, mung (Phaseolus aureus)	0.81	0.13	0.09	0.3	-	0.07	0.7	3.01	-	117.9	10.42	0.38	20.4	0.39	
Wheat (Triticum aestivum)	0.3	0.1	0.15	1.23	0.04	-	0.14	0.45	3.96	-	812.03	63.24	0.15	11.89	-
